trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
48,False,"{'a': 0.5, 'e': 0.308645070471144}",20,6,-5.142193864140776,"{0: 12, 1: 1, 2: 0, 3: 1, 4: 0}",1
49,False,"{'a': 0.5, 'e': 0.3055586197664325}",20,0,-27.343216815153415,"{0: 17, 1: 2, 2: 0, 3: 0, 4: 1}",0
50,False,"{'a': 0.5, 'e': 0.3025030335687682}",20,13,-6.411150689851812,"{0: 5, 1: 1, 2: 1, 3: 0, 4: 0}",1
51,False,"{'a': 0.5, 'e': 0.2994780032330805}",20,0,-7.801050828453326,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
52,False,"{'a': 0.5, 'e': 0.2964832232007497}",20,2,-14.583104408310788,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 1}",1
53,False,"{'a': 0.5, 'e': 0.2935183909687422}",20,1,-73.23160070771509,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 2}",1
54,False,"{'a': 0.5, 'e': 0.29058320705905477}",25,13,-21.46778502879196,"{0: 9, 1: 1, 2: 1, 3: 1, 4: 0}",1
55,False,"{'a': 0.5, 'e': 0.28767737498846424}",20,11,16.340398146518762,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
56,False,"{'a': 0.5, 'e': 0.2848006012385796}",25,10,22.864798940354586,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
57,False,"{'a': 0.5, 'e': 0.28195259522619376}",20,14,12.996399927294803,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
58,False,"{'a': 0.5, 'e': 0.27913306927393183}",30,16,-18.8629442465057,"{0: 11, 1: 0, 2: 2, 3: 1, 4: 0}",1
59,False,"{'a': 0.5, 'e': 0.27634173858119254}",35,9,-33.627288390994664,"{0: 23, 1: 0, 2: 1, 3: 1, 4: 1}",1
60,False,"{'a': 0.5, 'e': 0.2735783211953806}",25,4,9.014684331482899,"{0: 19, 1: 0, 2: 2, 3: 0, 4: 0}",1
61,False,"{'a': 0.5, 'e': 0.2708425379834268}",25,0,-16.187213660368833,"{0: 19, 1: 4, 2: 2, 3: 0, 4: 0}",0
62,False,"{'a': 0.5, 'e': 0.2681341126035925}",25,0,5.6825572070922625,"{0: 22, 1: 1, 2: 2, 3: 0, 4: 0}",0
63,False,"{'a': 0.5, 'e': 0.2654527714775566}",20,0,4.786789644574931,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
64,False,"{'a': 0.5, 'e': 0.262798243762781}",20,10,-10.619975627815723,"{0: 7, 1: 1, 2: 2, 3: 0, 4: 0}",1
65,False,"{'a': 0.5, 'e': 0.2601702613251532}",20,0,-64.11373270756977,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
66,False,"{'a': 0.5, 'e': 0.25756855871190165}",25,0,-32.65311828816307,"{0: 21, 1: 1, 2: 2, 3: 0, 4: 1}",0
67,False,"{'a': 0.5, 'e': 0.25499287312478264}",25,3,9.40586163056002,"{0: 21, 1: 0, 2: 0, 3: 1, 4: 0}",1
68,False,"{'a': 0.5, 'e': 0.2524429443935348}",20,15,9.442847961168297,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
69,False,"{'a': 0.5, 'e': 0.24991851494959946}",20,0,-70.39717963309789,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 2}",0
70,False,"{'a': 0.5, 'e': 0.24741932980010348}",20,0,-103.62892700444938,"{0: 15, 1: 0, 2: 2, 3: 1, 4: 2}",0
71,False,"{'a': 0.5, 'e': 0.24494513650210245}",30,13,-55.19915928329196,"{0: 13, 1: 1, 2: 1, 3: 1, 4: 1}",1
72,False,"{'a': 0.5, 'e': 0.24249568513708142}",20,0,-38.86044245095763,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
73,False,"{'a': 0.5, 'e': 0.2400707282857106}",25,11,-23.53533476299498,"{0: 11, 1: 0, 2: 2, 3: 1, 4: 0}",1
74,False,"{'a': 0.5, 'e': 0.23767002100285348}",20,0,-58.245250478728764,"{0: 16, 1: 0, 2: 2, 3: 1, 4: 1}",0
75,False,"{'a': 0.5, 'e': 0.23529332079282494}",25,10,4.9833774005448745,"{0: 13, 1: 1, 2: 1, 3: 0, 4: 0}",1
76,False,"{'a': 0.5, 'e': 0.23294038758489669}",35,25,1.263840670322894,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 0}",1
77,False,"{'a': 0.5, 'e': 0.23061098370904773}",30,20,15.590971565962072,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
78,False,"{'a': 0.5, 'e': 0.22830487387195725}",20,12,-27.78090946785241,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 1}",1
79,False,"{'a': 0.5, 'e': 0.22602182513323768}",35,0,-39.937973760972866,"{0: 32, 1: 1, 2: 0, 3: 0, 4: 2}",0
80,False,"{'a': 0.5, 'e': 0.2237616068819053}",25,0,-21.73849866346965,"{0: 21, 1: 0, 2: 3, 3: 1, 4: 0}",0
81,False,"{'a': 0.5, 'e': 0.22152399081308624}",25,0,-32.47399751378791,"{0: 20, 1: 4, 2: 0, 3: 0, 4: 1}",1
82,False,"{'a': 0.5, 'e': 0.21930875090495539}",25,16,14.82992943309391,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
83,False,"{'a': 0.5, 'e': 0.21711566339590582}",25,0,-43.181699012855205,"{0: 21, 1: 1, 2: 1, 3: 1, 4: 1}",0
84,False,"{'a': 0.5, 'e': 0.21494450676194676}",20,16,7.268995150897993,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
85,False,"{'a': 0.5, 'e': 0.2127950616943273}",25,0,-2.098939710634667,"{0: 22, 1: 1, 2: 2, 3: 0, 4: 0}",0
86,False,"{'a': 0.5, 'e': 0.210667111077384}",25,11,14.767880214399053,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
87,False,"{'a': 0.5, 'e': 0.20856043996661017}",20,0,18.664972136763737,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
88,False,"{'a': 0.5, 'e': 0.20647483556694407}",30,0,38.534852363038695,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
89,False,"{'a': 0.5, 'e': 0.20441008721127463}",25,0,9.647830843768322,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0
90,False,"{'a': 0.5, 'e': 0.2023659863391619}",25,0,-11.819886927629177,"{0: 22, 1: 0, 2: 2, 3: 1, 4: 0}",0
91,False,"{'a': 0.5, 'e': 0.20034232647577027}",20,0,26.25479717677738,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
